data_hora,umidade,temperatura,ph,n,p,k,nivel_chuva,status_irrigacao,irrigacao_ligada,umidade_prevista,ph_previsto,produtividade_estimada
2026-05-02 12:00:00,27.71,25.68,6.6,1,1,1,2,DESLIGADA,0,38.58,6.56,74.96
2026-05-02 12:00:00,27.74,32.09,6.42,1,1,1,1,DESLIGADA,0,31.5,6.54,71.72
2026-05-02 12:00:00,25.47,29.46,6.67,0,1,1,1,DESLIGADA,0,32.15,6.73,61.84
2026-05-02 12:00:00,22.84,26.74,6.34,1,1,1,2,DESLIGADA,0,31.41,6.62,69.78
2026-05-02 12:00:00,26.7,28.07,6.92,1,1,1,2,DESLIGADA,0,32.88,7.11,63.66
2026-05-02 12:00:00,24.92,27.22,7.18,1,1,1,1,DESLIGADA,0,32.65,7.38,66.65
2026-05-02 12:00:00,32.27,29.46,7.11,0,1,1,2,DESLIGADA,0,42.46,6.98,65.9
2026-05-02 12:00:00,32.51,28.88,7.42,1,1,1,1,DESLIGADA,0,36.66,7.7,60.68
2026-05-02 12:00:00,28.71,25.22,7.06,0,1,1,1,DESLIGADA,0,33.34,7.09,69.36
2026-05-02 12:00:00,26.91,26.71,6.17,1,1,1,1,DESLIGADA,0,31.33,6.46,69.77
2026-05-02 12:00:00,27.45,27.02,6.9,1,1,1,1,DESLIGADA,0,31.0,7.04,67.26
2026-05-02 12:00:00,29.19,26.43,7.26,1,1,1,2,DESLIGADA,0,37.92,7.45,67.57
2026-05-02 12:00:00,27.31,30.15,6.04,1,1,1,1,DESLIGADA,0,30.35,6.0,58.21
2026-05-02 12:00:00,23.86,32.11,7.53,0,0,1,2,DESLIGADA,0,31.48,7.39,49.87
2026-05-02 16:00:00,27.4,24.88,7.65,1,1,1,0,DESLIGADA,0,29.11,7.73,59.2
2026-05-02 16:00:00,33.76,23.65,7.49,1,1,1,0,DESLIGADA,0,35.77,7.63,65.35
2026-05-02 16:00:00,41.54,30.32,7.17,1,1,0,0,DESLIGADA,0,37.38,7.24,63.5
2026-05-02 16:00:00,33.39,25.1,7.36,1,0,1,0,DESLIGADA,0,35.16,7.43,59.94
2026-05-02 16:00:00,30.95,21.1,7.12,1,1,1,0,DESLIGADA,0,33.6,7.28,66.99
2026-05-02 16:00:00,35.44,27.97,7.28,1,1,1,0,DESLIGADA,0,35.89,7.39,60.39
2026-05-02 16:00:00,29.06,26.57,7.71,1,1,1,0,DESLIGADA,0,30.1,8.07,59.91
2026-05-02 16:00:00,29.79,29.77,7.41,1,1,1,1,DESLIGADA,0,33.13,7.37,65.34
2026-05-02 16:00:00,39.87,24.81,7.71,1,1,1,1,DESLIGADA,0,44.79,8.05,65.07
2026-05-02 16:00:00,37.8,26.59,7.88,1,1,1,0,DESLIGADA,0,38.91,8.13,64.15
2026-05-02 16:00:00,39.95,29.3,7.47,1,1,0,1,DESLIGADA,0,42.59,7.76,63.73
2026-05-02 16:00:00,32.93,28.79,6.84,1,1,0,0,DESLIGADA,0,29.3,6.97,66.51
2026-05-02 16:00:00,37.1,26.74,7.45,1,1,1,1,DESLIGADA,0,43.53,7.4,69.51
2026-05-02 16:00:00,29.17,24.47,7.62,1,1,1,0,DESLIGADA,0,28.67,7.49,54.14
2026-05-02 16:00:00,38.73,20.84,7.48,1,1,1,0,DESLIGADA,0,39.54,7.72,70.15
2026-05-02 16:00:00,32.99,27.15,7.08,1,1,1,0,DESLIGADA,0,29.46,7.28,64.85
2026-05-02 16:00:00,34.97,23.22,7.56,1,1,0,0,DESLIGADA,0,36.72,7.72,59.7
2026-05-02 16:00:00,41.24,27.34,7.83,1,1,1,0,DESLIGADA,0,41.65,7.94,61.15
2026-05-02 16:00:00,43.04,27.05,7.34,1,1,0,0,DESLIGADA,0,43.8,7.32,70.28
2026-05-02 16:00:00,41.45,27.33,7.47,1,1,1,1,DESLIGADA,0,47.82,7.4,74.02
2026-05-02 16:00:00,32.28,27.15,7.21,0,1,1,0,DESLIGADA,0,28.85,7.4,57.03
2026-05-02 16:00:00,27.38,26.35,7.73,1,1,1,0,DESLIGADA,0,29.71,7.55,58.0
2026-05-02 16:00:00,33.14,22.9,7.63,0,0,1,1,DESLIGADA,0,36.31,7.56,60.79
2026-05-02 16:00:00,31.63,27.32,6.95,1,1,1,0,DESLIGADA,0,28.35,7.26,58.81
2026-05-02 16:00:00,32.98,25.42,7.4,1,1,1,1,DESLIGADA,0,37.97,7.6,64.05
2026-05-03 08:00:00,50.02,19.56,6.94,1,0,1,1,DESLIGADA,0,56.96,7.03,57.65
2026-05-03 08:00:00,40.26,23.48,6.99,1,1,1,1,DESLIGADA,0,47.1,7.21,75.05
2026-05-03 08:00:00,40.02,20.84,6.2,1,1,1,2,DESLIGADA,0,44.11,6.16,79.02
2026-05-03 08:00:00,38.44,23.42,6.01,1,1,0,1,DESLIGADA,0,48.09,6.3,70.5
2026-05-03 08:00:00,38.73,22.05,6.68,1,1,1,1,DESLIGADA,0,48.33,6.83,80.58
2026-05-03 08:00:00,42.53,24.63,6.25,1,1,1,1,DESLIGADA,0,47.61,6.23,70.97
2026-05-03 08:00:00,35.39,19.16,6.54,1,1,1,0,DESLIGADA,0,35.07,6.96,58.8
2026-05-03 08:00:00,39.54,26.11,6.66,1,1,1,2,DESLIGADA,0,51.05,6.67,78.76
2026-05-03 08:00:00,35.61,23.36,6.56,1,1,1,2,DESLIGADA,0,44.9,6.54,81.0
2026-05-03 08:00:00,36.5,24.12,6.09,1,1,1,2,DESLIGADA,0,47.16,6.17,77.89
2026-05-03 08:00:00,32.67,22.61,7.2,1,1,1,2,DESLIGADA,0,38.68,7.11,69.63
2026-05-03 08:00:00,38.24,25.32,6.39,1,1,1,0,DESLIGADA,0,37.77,6.54,73.35
2026-05-03 08:00:00,45.42,25.1,6.44,1,1,1,1,DESLIGADA,0,52.38,6.44,82.6
2026-05-03 08:00:00,37.26,24.2,5.91,1,1,1,1,DESLIGADA,0,43.94,6.08,75.62
2026-05-03 08:00:00,46.56,22.23,5.88,1,1,1,0,DESLIGADA,0,45.11,5.98,73.1
2026-05-03 08:00:00,35.6,21.44,6.24,1,1,1,0,DESLIGADA,0,34.81,6.43,66.27
2026-05-03 08:00:00,36.51,20.82,6.28,1,1,1,2,DESLIGADA,0,46.56,6.36,77.16
2026-05-03 08:00:00,41.05,19.79,6.06,0,1,1,1,DESLIGADA,0,46.74,6.26,69.41
2026-05-03 08:00:00,43.3,21.29,6.46,1,1,1,0,DESLIGADA,0,42.39,6.46,70.5
2026-05-03 08:00:00,40.4,21.24,6.63,1,1,1,0,DESLIGADA,0,43.56,6.67,75.66
2026-05-03 08:00:00,45.63,25.23,6.0,1,1,1,0,DESLIGADA,0,45.2,6.13,79.08
2026-05-03 08:00:00,40.09,22.61,6.53,1,1,1,2,DESLIGADA,0,46.54,6.68,73.7
2026-05-03 08:00:00,43.41,22.79,6.77,1,1,1,0,DESLIGADA,0,46.59,6.98,78.38
2026-05-03 08:00:00,36.22,21.04,6.55,1,1,1,2,DESLIGADA,0,42.69,6.78,74.1
2026-05-03 08:00:00,40.28,19.76,6.68,1,1,1,2,DESLIGADA,0,50.39,6.77,75.28
2026-05-03 12:00:00,25.99,28.61,5.92,1,1,1,0,LIGADA,1,32.6,5.9,65.83
2026-05-03 12:00:00,19.66,31.5,6.15,1,1,1,0,LIGADA,1,28.12,6.23,62.28
2026-05-03 12:00:00,26.71,30.56,5.86,1,1,1,0,LIGADA,1,34.01,6.0,58.49
2026-05-03 12:00:00,30.65,30.73,5.85,0,1,1,0,LIGADA,1,39.46,5.86,66.77
2026-05-03 12:00:00,24.55,30.5,6.05,1,0,1,0,LIGADA,1,30.66,6.0,56.08
2026-05-03 12:00:00,21.7,30.82,5.94,1,1,0,0,LIGADA,1,27.03,6.08,46.31
2026-05-03 12:00:00,27.65,33.81,5.94,1,1,1,1,LIGADA,1,36.75,5.81,65.86
2026-05-03 12:00:00,26.25,27.97,6.14,1,1,1,0,LIGADA,1,35.65,6.15,66.84
2026-05-03 12:00:00,34.39,32.25,6.13,1,1,1,0,LIGADA,1,40.28,6.29,71.62
2026-05-03 12:00:00,25.84,27.12,5.92,1,1,1,0,LIGADA,1,33.67,6.04,73.39
2026-05-03 12:00:00,28.73,27.38,6.33,1,0,1,1,LIGADA,1,40.26,6.53,69.62
2026-05-03 12:00:00,24.22,28.69,5.9,1,1,1,0,LIGADA,1,29.22,6.08,58.23
2026-05-03 12:00:00,23.59,28.74,5.73,1,1,0,0,LIGADA,1,32.31,5.75,69.79
2026-05-03 12:00:00,24.89,30.14,5.65,1,1,1,1,LIGADA,1,36.87,5.65,70.4
2026-05-03 12:00:00,29.94,30.19,5.25,1,1,1,0,LIGADA,1,38.69,5.23,63.44
2026-05-03 12:00:00,30.76,26.68,6.1,1,1,1,1,LIGADA,1,42.87,6.22,74.93
2026-05-03 12:00:00,24.93,29.92,6.25,1,1,1,0,LIGADA,1,27.71,6.48,64.4
2026-05-03 12:00:00,26.86,31.92,5.42,1,1,1,1,LIGADA,1,36.86,5.64,66.89
2026-05-03 12:00:00,28.64,29.48,5.36,1,1,1,0,LIGADA,1,33.66,5.61,65.39
2026-05-03 12:00:00,32.94,28.25,6.02,1,1,1,0,LIGADA,1,41.31,6.2,75.48
2026-05-03 12:00:00,25.67,32.96,5.78,1,1,1,0,LIGADA,1,28.24,5.8,48.41
2026-05-03 12:00:00,26.83,27.76,5.97,1,1,1,1,LIGADA,1,40.56,6.16,71.18
2026-05-03 12:00:00,26.03,32.09,6.24,1,1,1,0,LIGADA,1,34.72,6.53,69.88
2026-05-03 12:00:00,27.33,29.58,6.34,1,1,1,1,LIGADA,1,37.84,6.33,67.66
2026-05-03 12:00:00,19.39,31.46,6.73,1,1,0,0,LIGADA,1,28.32,6.81,57.63
2026-05-03 16:00:00,27.37,28.13,6.43,0,1,1,0,DESLIGADA,0,25.06,6.38,49.86
2026-05-03 16:00:00,34.33,26.44,6.26,0,1,1,0,DESLIGADA,0,33.07,6.48,69.75
2026-05-03 16:00:00,34.88,28.84,6.39,1,1,1,0,DESLIGADA,0,32.33,6.62,70.32
2026-05-03 16:00:00,23.73,29.98,5.73,0,1,1,1,DESLIGADA,0,24.41,5.66,54.27
2026-05-03 16:00:00,27.71,29.86,6.78,0,1,1,0,DESLIGADA,0,27.83,6.66,57.61
2026-05-03 16:00:00,31.95,30.19,6.33,0,1,1,0,DESLIGADA,0,29.13,6.32,54.87
2026-05-03 16:00:00,35.78,25.14,6.04,0,0,1,1,DESLIGADA,0,39.04,6.29,66.64
2026-05-03 16:00:00,36.38,24.05,6.57,0,1,1,0,DESLIGADA,0,33.98,6.63,63.78
2026-05-03 16:00:00,36.06,26.32,6.71,0,1,0,0,DESLIGADA,0,35.77,6.7,67.28
2026-05-03 16:00:00,34.46,26.99,6.84,0,1,1,0,DESLIGADA,0,30.33,6.95,67.06
2026-05-03 16:00:00,37.35,27.94,6.6,0,1,1,0,DESLIGADA,0,37.07,6.6,65.76
2026-05-03 16:00:00,29.96,28.38,6.99,1,1,1,0,DESLIGADA,0,29.91,7.2,60.86
2026-05-03 16:00:00,33.28,32.03,6.64,0,1,1,1,DESLIGADA,0,38.41,6.69,62.02
2026-05-03 16:00:00,40.16,28.85,6.36,0,1,1,0,DESLIGADA,0,39.48,6.44,68.16
2026-05-03 16:00:00,37.73,28.55,6.81,0,1,1,1,DESLIGADA,0,38.89,6.93,56.72
2026-05-03 16:00:00,36.22,26.64,7.26,0,1,0,1,DESLIGADA,0,41.22,7.37,60.69
2026-05-03 16:00:00,39.39,25.61,6.9,0,1,1,0,DESLIGADA,0,36.63,6.87,69.89
2026-05-03 16:00:00,37.39,27.8,6.41,1,1,1,0,DESLIGADA,0,42.47,6.62,79.83
2026-05-03 16:00:00,33.43,23.98,6.59,0,1,1,0,DESLIGADA,0,34.19,6.64,65.43
2026-05-03 16:00:00,39.26,27.54,6.99,0,0,1,0,DESLIGADA,0,34.77,6.99,60.0
2026-05-03 16:00:00,30.26,27.53,6.82,0,1,0,0,DESLIGADA,0,27.41,6.89,58.58
2026-05-03 16:00:00,38.51,27.41,6.64,0,1,1,0,DESLIGADA,0,39.27,6.74,73.24
2026-05-03 16:00:00,35.78,29.17,7.1,0,0,1,0,DESLIGADA,0,31.24,7.06,58.14
2026-05-03 16:00:00,34.28,26.58,7.29,0,0,1,1,DESLIGADA,0,39.86,7.36,65.13
2026-05-03 16:00:00,36.19,28.58,6.71,0,1,1,1,DESLIGADA,0,41.4,6.77,67.43
2026-05-04 08:00:00,31.47,24.14,6.37,1,1,1,1,LIGADA,1,46.61,6.52,88.51
2026-05-04 08:00:00,29.69,24.85,6.02,1,1,1,0,LIGADA,1,40.21,6.18,72.9
2026-05-04 08:00:00,42.02,24.99,6.05,0,1,1,2,LIGADA,1,59.29,6.09,61.23
2026-05-04 08:00:00,34.13,22.51,5.92,1,1,1,0,LIGADA,1,43.48,6.0,71.72
2026-05-04 08:00:00,27.42,26.8,6.52,1,0,1,1,LIGADA,1,36.72,6.52,67.73
2026-05-04 08:00:00,27.8,22.04,6.2,1,1,1,1,LIGADA,1,41.81,6.41,74.2
2026-05-04 08:00:00,39.68,24.67,5.65,1,1,1,2,LIGADA,1,57.44,5.7,71.35
2026-05-04 08:00:00,33.4,25.65,5.97,1,1,1,0,LIGADA,1,41.04,6.15,74.34
2026-05-04 08:00:00,27.95,23.12,6.24,1,1,1,0,LIGADA,1,35.36,6.35,72.22
2026-05-04 08:00:00,33.64,23.33,6.58,1,1,0,1,LIGADA,1,46.67,6.68,72.72
2026-05-04 08:00:00,28.6,21.23,6.33,1,1,1,1,LIGADA,1,39.4,6.5,74.5
2026-05-04 08:00:00,33.52,28.57,6.4,1,1,1,2,LIGADA,1,48.77,6.38,75.77
2026-05-04 08:00:00,30.84,22.39,6.19,1,1,1,2,LIGADA,1,50.72,6.36,70.89
2026-05-04 08:00:00,24.87,22.71,6.28,1,1,1,0,LIGADA,1,28.11,6.57,59.94
2026-05-04 08:00:00,32.53,24.69,6.68,1,1,0,1,LIGADA,1,45.8,6.76,76.01
2026-05-04 08:00:00,34.36,25.42,6.23,1,1,0,2,LIGADA,1,53.62,6.4,69.91
2026-05-04 08:00:00,18.94,21.64,6.96,1,1,1,0,LIGADA,1,26.97,7.26,57.87
2026-05-04 08:00:00,33.03,24.93,6.54,1,1,0,0,LIGADA,1,43.32,6.82,71.25
2026-05-04 08:00:00,35.86,26.06,7.2,1,0,0,0,LIGADA,1,42.86,7.17,55.03
2026-05-04 08:00:00,29.46,24.94,6.13,1,1,1,1,LIGADA,1,44.11,6.3,84.19
2026-05-04 08:00:00,31.42,25.19,6.43,1,1,1,0,LIGADA,1,38.88,6.65,79.93
2026-05-04 08:00:00,35.76,24.22,5.47,1,1,1,1,LIGADA,1,50.76,5.5,60.63
2026-05-04 08:00:00,32.24,24.13,6.13,1,1,0,0,LIGADA,1,42.34,6.36,79.08
2026-05-04 08:00:00,30.44,20.09,6.23,1,1,1,1,LIGADA,1,46.44,6.46,78.92
2026-05-04 08:00:00,33.69,24.13,6.37,1,1,1,0,LIGADA,1,42.33,6.68,83.05
